7660000,香川県,仲多度郡琴平町,,カガワケン,ナカタドグンコトヒラチョウ,
7660004,香川県,仲多度郡琴平町,榎井,カガワケン,ナカタドグンコトヒラチョウ,エナイ
7660006,香川県,仲多度郡琴平町,上櫛梨,カガワケン,ナカタドグンコトヒラチョウ,カミクシナシ
7660002,香川県,仲多度郡琴平町,琴平町の次に１〜４２６番地がくる場合,カガワケン,ナカタドグンコトヒラチョウ,コトヒラチョウノツギニ1-426バンチガクルバアイ(カワヒガシ)
7660001,香川県,仲多度郡琴平町,琴平町の次に４２７番地以降がくる場合,カガワケン,ナカタドグンコトヒラチョウ,コトヒラチョウノツギニ427バンチイコウガクルバアイ(カワニシ)
7660003,香川県,仲多度郡琴平町,五條,カガワケン,ナカタドグンコトヒラチョウ,ゴジョウ
7660007,香川県,仲多度郡琴平町,下櫛梨,カガワケン,ナカタドグンコトヒラチョウ,シモクシナシ
7660005,香川県,仲多度郡琴平町,苗田,カガワケン,ナカタドグンコトヒラチョウ,ノウダ
7660000,香川県,仲多度郡まんのう町,,カガワケン,ナカタドグンマンノウチョウ,
7660204,香川県,仲多度郡まんのう町,勝浦,カガワケン,ナカタドグンマンノウチョウ,カツウラ
7660203,香川県,仲多度郡まんのう町,川東,カガワケン,ナカタドグンマンノウチョウ,カワヒガシ
7660024,香川県,仲多度郡まんのう町,神野,カガワケン,ナカタドグンマンノウチョウ,カンノ
7660026,香川県,仲多度郡まんのう町,岸上,カガワケン,ナカタドグンマンノウチョウ,キシノウエ
7660011,香川県,仲多度郡まんのう町,公文,カガワケン,ナカタドグンマンノウチョウ,クモン
7660027,香川県,仲多度郡まんのう町,五條,カガワケン,ナカタドグンマンノウチョウ,ゴジョウ
7660021,香川県,仲多度郡まんのう町,四條,カガワケン,ナカタドグンマンノウチョウ,シジョウ
7660017,香川県,仲多度郡まんのう町,炭所西,カガワケン,ナカタドグンマンノウチョウ,スミショニシ
7660016,香川県,仲多度郡まんのう町,炭所東,カガワケン,ナカタドグンマンノウチョウ,スミショヒガシ
7660201,香川県,仲多度郡まんのう町,造田,カガワケン,ナカタドグンマンノウチョウ,ソウダ
7660015,香川県,仲多度郡まんのう町,長尾,カガワケン,ナカタドグンマンノウチョウ,ナガオ
7660202,香川県,仲多度郡まんのう町,中通,カガワケン,ナカタドグンマンノウチョウ,ナカト
7660012,香川県,仲多度郡まんのう町,西高篠,カガワケン,ナカタドグンマンノウチョウ,ニシタカシノ
7660014,香川県,仲多度郡まんのう町,羽間,カガワケン,ナカタドグンマンノウチョウ,ハザマ
7660013,香川県,仲多度郡まんのう町,東高篠,カガワケン,ナカタドグンマンノウチョウ,ヒガシタカシノ
7660025,香川県,仲多度郡まんのう町,真野,カガワケン,ナカタドグンマンノウチョウ,マノ
7660023,香川県,仲多度郡まんのう町,吉野,カガワケン,ナカタドグンマンノウチョウ,ヨシノ
7660022,香川県,仲多度郡まんのう町,吉野下,カガワケン,ナカタドグンマンノウチョウ,ヨシノシモ
7668501,香川県,仲多度郡琴平町,８９２−１,カガワケン,ナカタドグンコトヒラチョウ,
7668502,香川県,仲多度郡琴平町,榎井８１７−１０,カガワケン,ナカタドグンコトヒラチョウ,
