9590142,新潟県,長岡市,寺泊万善寺,ニイガタケン,ナガオカシ,テラドマリバンゼンジ
9590145,新潟県,長岡市,寺泊平野新村新田,ニイガタケン,ナガオカシ,テラドマリヒラノシンムラシンデン
9590144,新潟県,長岡市,寺泊町軽井,ニイガタケン,ナガオカシ,テラドマリマチカルイ
9590151,新潟県,長岡市,寺泊求草,ニイガタケン,ナガオカシ,テラドマリモトメグサ
9590148,新潟県,長岡市,寺泊矢田,ニイガタケン,ナガオカシ,テラドマリヤダ
9590157,新潟県,長岡市,寺泊鰐口,ニイガタケン,ナガオカシ,テラドマリワニクチ
9591143,新潟県,三条市,泉新田,ニイガタケン,サンジョウシ,イズミシンデン
9591151,新潟県,三条市,猪子場新田,ニイガタケン,サンジョウシ,イノコバシンデン
9591141,新潟県,三条市,今井,ニイガタケン,サンジョウシ,イマイ
9591142,新潟県,三条市,今井野新田,ニイガタケン,サンジョウシ,イマイノシンデン
9591154,新潟県,三条市,岩淵,ニイガタケン,サンジョウシ,イワフチ
9591113,新潟県,三条市,大面,ニイガタケン,サンジョウシ,オオモ
9591147,新潟県,三条市,岡野新田,ニイガタケン,サンジョウシ,オカノシンデン
9591126,新潟県,三条市,小古瀬,ニイガタケン,サンジョウシ,オゴセ
9591148,新潟県,三条市,尾崎,ニイガタケン,サンジョウシ,オサキ
9591135,新潟県,三条市,鬼木,ニイガタケン,サンジョウシ,オニギ
9591134,新潟県,三条市,鬼木新田,ニイガタケン,サンジョウシ,オニギシンデン
9591117,新潟県,三条市,帯織,ニイガタケン,サンジョウシ,オビオリ
9591144,新潟県,三条市,貝喰新田,ニイガタケン,サンジョウシ,カイバミシンデン
9591136,新潟県,三条市,川通中町,ニイガタケン,サンジョウシ,カワドオリナカマチ
9591108,新潟県,三条市,北潟,ニイガタケン,サンジョウシ,キタガタ
9591123,新潟県,三条市,九之曽根,ニイガタケン,サンジョウシ,クノソネ
9591109,新潟県,三条市,蔵内,ニイガタケン,サンジョウシ,クラウチ
9591114,新潟県,三条市,高安寺,ニイガタケン,サンジョウシ,コウアンジ
9591115,新潟県,三条市,小滝,ニイガタケン,サンジョウシ,コダキ
9591122,新潟県,三条市,栄荻島,ニイガタケン,サンジョウシ,サカエオギジマ
9591118,新潟県,三条市,山王,ニイガタケン,サンジョウシ,サンノウ
9591131,新潟県,三条市,芹山,ニイガタケン,サンジョウシ,セリヤマ
9591121,新潟県,三条市,善久寺,ニイガタケン,サンジョウシ,ゼンキュウジ
9591124,新潟県,三条市,千把野新田,ニイガタケン,サンジョウシ,センバノシンデン
9591111,新潟県,三条市,茅原,ニイガタケン,サンジョウシ,チハラ
9591104,新潟県,三条市,東光寺,ニイガタケン,サンジョウシ,トウコウジ
9591119,新潟県,三条市,戸口,ニイガタケン,サンジョウシ,トグチ
9591125,新潟県,三条市,中島,ニイガタケン,サンジョウシ,ナカジマ
9591133,新潟県,三条市,中曽根新田,ニイガタケン,サンジョウシ,ナカゾネシンデン
9591153,新潟県,三条市,新堀,ニイガタケン,サンジョウシ,ニイボリ
9591146,新潟県,三条市,半ノ木,ニイガタケン,サンジョウシ,ハンノキ
9591152,新潟県,三条市,一ツ屋敷新田,ニイガタケン,サンジョウシ,ヒトツヤシキシンデン
9591156,新潟県,三条市,福島新田,ニイガタケン,サンジョウシ,フクジマシンデン
9591102,新潟県,三条市,福島新田乙,ニイガタケン,サンジョウシ,フクジマシンデンオツ
9591101,新潟県,三条市,福島新田甲,ニイガタケン,サンジョウシ,フクジマシンデンコウ
9591155,新潟県,三条市,福島新田丁,ニイガタケン,サンジョウシ,フクジマシンデンテイ
9591145,新潟県,三条市,福島新田丙,ニイガタケン,サンジョウシ,フクジマシンデンヘイ
9591103,新潟県,三条市,福島新田戊,ニイガタケン,サンジョウシ,フクジマシンデンボ
9591116,新潟県,三条市,前谷内,ニイガタケン,サンジョウシ,マエヤチ
9591112,新潟県,三条市,安代,ニイガタケン,サンジョウシ,ヤスシロ
9591107,新潟県,三条市,矢田,ニイガタケン,サンジョウシ,ヤダ
9591106,新潟県,三条市,吉野屋,ニイガタケン,サンジョウシ,ヨシノヤ
9591105,新潟県,三条市,若宮新田,ニイガタケン,サンジョウシ,ワカミヤシンデン
9591132,新潟県,三条市,渡前,ニイガタケン,サンジョウシ,ワタリマエ
9592314,新潟県,新発田市,赤橋,ニイガタケン,シバタシ,アカイバシ
9592311,新潟県,新発田市,荒町,ニイガタケン,シバタシ,アラマチ
9592443,新潟県,新発田市,新屋敷,ニイガタケン,シバタシ,アラヤシキ
9592321,新潟県,新発田市,池ノ端,ニイガタケン,シバタシ,イケノハタ
9592406,新潟県,新発田市,稲荷,ニイガタケン,シバタシ,イナリ
9592461,新潟県,新発田市,大野,ニイガタケン,シバタシ,オオノ
9592463,新潟県,新発田市,岡島,ニイガタケン,シバタシ,オカジマ
9592333,新潟県,新発田市,岡屋敷,ニイガタケン,シバタシ,オカヤシキ
9592471,新潟県,新発田市,小国谷,ニイガタケン,シバタシ,オグニダニ
9592402,新潟県,新発田市,小島,ニイガタケン,シバタシ,オジマ
9592434,新潟県,新発田市,押廻,ニイガタケン,シバタシ,オシマワシ
9592323,新潟県,新発田市,乙次,ニイガタケン,シバタシ,オトジ
9592476,新潟県,新発田市,貝塚,ニイガタケン,シバタシ,カイヅカ
9592472,新潟県,新発田市,貝屋,ニイガタケン,シバタシ,カイヤ
9592336,新潟県,新発田市,加治万代,ニイガタケン,シバタシ,カジバンダイ
9592479,新潟県,新発田市,金沢,ニイガタケン,シバタシ,カナザワ
9592441,新潟県,新発田市,金津,ニイガタケン,シバタシ,カナヅ
9592464,新潟県,新発田市,金塚,ニイガタケン,シバタシ,カナヅカ
9592473,新潟県,新発田市,金山,ニイガタケン,シバタシ,カナヤマ
9592431,新潟県,新発田市,釜杭,ニイガタケン,シバタシ,カマグイ
9592501,新潟県,新発田市,上荒沢,ニイガタケン,シバタシ,カミアラサワ
9592514,新潟県,新発田市,上石川,ニイガタケン,シバタシ,カミイシカワ
9592421,新潟県,新発田市,上今泉,ニイガタケン,シバタシ,カミイマイズミ
9592455,新潟県,新発田市,上小松,ニイガタケン,シバタシ,カミコマツ
9592504,新潟県,新発田市,上寺内,ニイガタケン,シバタシ,カミジナイ
9592452,新潟県,新発田市,上館,ニイガタケン,シバタシ,カミタテ
9592523,新潟県,新発田市,上中江,ニイガタケン,シバタシ,カミナカエ
9592407,新潟県,新発田市,川口,ニイガタケン,シバタシ,カワグチ
9592435,新潟県,新発田市,川尻,ニイガタケン,シバタシ,カワシリ
9592522,新潟県,新発田市,北中江,ニイガタケン,シバタシ,キタナカエ
9592303,新潟県,新発田市,切梅,ニイガタケン,シバタシ,キリウメ
9592502,新潟県,新発田市,熊出,ニイガタケン,シバタシ,クマイデ
9592521,新潟県,新発田市,蔵光,ニイガタケン,シバタシ,クラミツ
9592527,新潟県,新発田市,黒岩,ニイガタケン,シバタシ,クロイワ
9592512,新潟県,新発田市,小出,ニイガタケン,シバタシ,コイデ
9592437,新潟県,新発田市,高山寺,ニイガタケン,シバタシ,コウサンジ
9592315,新潟県,新発田市,小坂,ニイガタケン,シバタシ,コサカ
9592401,新潟県,新発田市,湖南,ニイガタケン,シバタシ,コナン
9592474,新潟県,新発田市,境,ニイガタケン,シバタシ,サカイ
9592513,新潟県,新発田市,繁山,ニイガタケン,シバタシ,シゲヤマ
9592331,新潟県,新発田市,下飯塚,ニイガタケン,シバタシ,シモイイヅカ
9592516,新潟県,新発田市,下石川,ニイガタケン,シバタシ,シモイシカワ
9592457,新潟県,新発田市,下今泉,ニイガタケン,シバタシ,シモイマイズミ
9592477,新潟県,新発田市,下小中山,ニイガタケン,シバタシ,シモコナカヤマ
9592456,新潟県,新発田市,下小松,ニイガタケン,シバタシ,シモコマツ
9592478,新潟県,新発田市,下坂町,ニイガタケン,シバタシ,シモサカマチ
9592505,新潟県,新発田市,下寺内,ニイガタケン,シバタシ,シモジナイ
9592404,新潟県,新発田市,下城,ニイガタケン,シバタシ,シモジョウ
9592451,新潟県,新発田市,下中,ニイガタケン,シバタシ,シモナカ
9592524,新潟県,新発田市,下中江,ニイガタケン,シバタシ,シモナカエ
9592322,新潟県,新発田市,下中ノ目,ニイガタケン,シバタシ,シモナカノメ
9592503,新潟県,新発田市,下中山,ニイガタケン,シバタシ,シモナカヤマ
9592417,新潟県,新発田市,下西山,ニイガタケン,シバタシ,シモニシヤマ
9592414,新潟県,新発田市,下山田,ニイガタケン,シバタシ,シモヤマダ
9592444,新潟県,新発田市,新保小路,ニイガタケン,シバタシ,シンホコウジ
9592511,新潟県,新発田市,菅谷,ニイガタケン,シバタシ,スガタニ
9592415,新潟県,新発田市,住田,ニイガタケン,シバタシ,スミダ
9592422,新潟県,新発田市,関妻,ニイガタケン,シバタシ,セキヅマ
9592436,新潟県,新発田市,草荷,ニイガタケン,シバタシ,ソウカ
9592465,新潟県,新発田市,相馬,ニイガタケン,シバタシ,ソウマ
