6696225,兵庫県,豊岡市,竹野町轟,ヒョウゴケン,トヨオカシ,タケノチョウトドロキ
6696342,兵庫県,豊岡市,竹野町二連原,ヒョウゴケン,トヨオカシ,タケノチョウニレンバラ
6696344,兵庫県,豊岡市,竹野町椒,ヒョウゴケン,トヨオカシ,タケノチョウハジカミ
6696213,兵庫県,豊岡市,竹野町羽入,ヒョウゴケン,トヨオカシ,タケノチョウハニュウ
6696217,兵庫県,豊岡市,竹野町浜須井,ヒョウゴケン,トヨオカシ,タケノチョウハマスイ
6696227,兵庫県,豊岡市,竹野町林,ヒョウゴケン,トヨオカシ,タケノチョウハヤシ
6696228,兵庫県,豊岡市,竹野町東大谷,ヒョウゴケン,トヨオカシ,タケノチョウヒガシオオタニ
6696331,兵庫県,豊岡市,竹野町坊岡,ヒョウゴケン,トヨオカシ,タケノチョウボウオカ
6696212,兵庫県,豊岡市,竹野町松本,ヒョウゴケン,トヨオカシ,タケノチョウマツモト
6696355,兵庫県,豊岡市,竹野町三原,ヒョウゴケン,トヨオカシ,タケノチョウミハラ
6696332,兵庫県,豊岡市,竹野町森本,ヒョウゴケン,トヨオカシ,タケノチョウモリモト
6696335,兵庫県,豊岡市,竹野町門谷,ヒョウゴケン,トヨオカシ,タケノチョウモンダニ
6696211,兵庫県,豊岡市,竹野町和田,ヒョウゴケン,トヨオカシ,タケノチョウワダ
6696121,兵庫県,豊岡市,津居山,ヒョウゴケン,トヨオカシ,ツイヤマ
6696127,兵庫県,豊岡市,畑上,ヒョウゴケン,トヨオカシ,ハタガミ
6695314,兵庫県,豊岡市,日高町赤崎,ヒョウゴケン,トヨオカシ,ヒダカチョウアカサキ
6695331,兵庫県,豊岡市,日高町上石,ヒョウゴケン,トヨオカシ,ヒダカチョウアゲシ
6695315,兵庫県,豊岡市,日高町浅倉,ヒョウゴケン,トヨオカシ,ヒダカチョウアサクラ
6695356,兵庫県,豊岡市,日高町荒川,ヒョウゴケン,トヨオカシ,ヒダカチョウアラカワ
6695326,兵庫県,豊岡市,日高町池上,ヒョウゴケン,トヨオカシ,ヒダカチョウイケガミ
6695367,兵庫県,豊岡市,日高町石井,ヒョウゴケン,トヨオカシ,ヒダカチョウイシイ
6695375,兵庫県,豊岡市,日高町稲葉,ヒョウゴケン,トヨオカシ,ヒダカチョウイナンバ
6695357,兵庫県,豊岡市,日高町猪子垣,ヒョウゴケン,トヨオカシ,ヒダカチョウイノコガキ
6695338,兵庫県,豊岡市,日高町猪爪,ヒョウゴケン,トヨオカシ,ヒダカチョウイノツメ
6695346,兵庫県,豊岡市,日高町伊府,ヒョウゴケン,トヨオカシ,ヒダカチョウイブ
6695302,兵庫県,豊岡市,日高町岩中,ヒョウゴケン,トヨオカシ,ヒダカチョウイワナカ
