0185753,秋田県,大館市,比内前田,アキタケン,オオダテシ,ヒナイマエダ
0185701,秋田県,大館市,比内町扇田,アキタケン,オオダテシ,ヒナイマチオウギタ
0185851,秋田県,大館市,比内町大葛,アキタケン,オオダテシ,ヒナイマチオオクゾ
0185743,秋田県,大館市,比内町小坪沢,アキタケン,オオダテシ,ヒナイマチオツボザワ
0185745,秋田県,大館市,比内町片貝,アキタケン,オオダテシ,ヒナイマチカタガイ
0185731,秋田県,大館市,比内町笹館,アキタケン,オオダテシ,ヒナイマチササダテ
0185742,秋田県,大館市,比内町白沢水沢,アキタケン,オオダテシ,ヒナイマチシラサワミズサワ
0185741,秋田県,大館市,比内町達子,アキタケン,オオダテシ,ヒナイマチタッコ
0185721,秋田県,大館市,比内町独鈷,アキタケン,オオダテシ,ヒナイマチトッコ
0185722,秋田県,大館市,比内町中野,アキタケン,オオダテシ,ヒナイマチナカノ
0185712,秋田県,大館市,比内町新館,アキタケン,オオダテシ,ヒナイマチニイダテ
0185711,秋田県,大館市,比内町味噌内,アキタケン,オオダテシ,ヒナイマチミソナイ
0185744,秋田県,大館市,比内町八木橋,アキタケン,オオダテシ,ヒナイマチヤギハシ
0185732,秋田県,大館市,比内町谷地中,アキタケン,オオダテシ,ヒナイマチヤチナカ
0185603,秋田県,大館市,曲田,アキタケン,オオダテシ,マガタ
0185752,秋田県,大館市,本宮,アキタケン,オオダテシ,モトミヤ
0183506,秋田県,大館市,山瀬,アキタケン,オオダテシ,ヤマセ
0183502,秋田県,大館市,山田,アキタケン,オオダテシ,ヤマダ
0185200,秋田県,鹿角市,,アキタケン,カヅノシ,
0185202,秋田県,鹿角市,尾去沢,アキタケン,カヅノシ,オサリザワ
0185332,秋田県,鹿角市,十和田上向,アキタケン,カヅノシ,トワダウワムカイ
0185421,秋田県,鹿角市,十和田大湯,アキタケン,カヅノシ,トワダオオユ
0185333,秋田県,鹿角市,十和田岡田,アキタケン,カヅノシ,トワダオカダ
0185422,秋田県,鹿角市,十和田草木,アキタケン,カヅノシ,トワダクサギ
0185334,秋田県,鹿角市,十和田毛馬内,アキタケン,カヅノシ,トワダケマナイ
0185337,秋田県,鹿角市,十和田末広,アキタケン,カヅノシ,トワダスエヒロ
0185335,秋田県,鹿角市,十和田瀬田石,アキタケン,カヅノシ,トワダセタイシ
0185336,秋田県,鹿角市,十和田錦木,アキタケン,カヅノシ,トワダニシキギ
0185331,秋田県,鹿角市,十和田山根,アキタケン,カヅノシ,トワダヤマネ
0185141,秋田県,鹿角市,八幡平,アキタケン,カヅノシ,ハチマンタイ
