7100253,岡山県,倉敷市,新倉敷駅前,オカヤマケン,クラシキシ,シンクラシキエキマエ
7100038,岡山県,倉敷市,新田,オカヤマケン,クラシキシ,シンデン
7100006,岡山県,倉敷市,祐安,オカヤマケン,クラシキシ,スケヤス
7100146,岡山県,倉敷市,曽原,オカヤマケン,クラシキシ,ソバラ
7100021,岡山県,倉敷市,高須賀,オカヤマケン,クラシキシ,タカスカ
7100831,岡山県,倉敷市,田ノ上,オカヤマケン,クラシキシ,タノウエ
7100832,岡山県,倉敷市,田ノ上新町,オカヤマケン,クラシキシ,タノウエシンマチ
7100252,岡山県,倉敷市,玉島爪崎,オカヤマケン,クラシキシ,タマシマツマサキ
7100251,岡山県,倉敷市,玉島長尾,オカヤマケン,クラシキシ,タマシマナガオ
7101101,岡山県,倉敷市,茶屋町,オカヤマケン,クラシキシ,チャヤマチ
7101102,岡山県,倉敷市,茶屋町早沖,オカヤマケン,クラシキシ,チャヤマチハヤオキ
7100046,岡山県,倉敷市,中央,オカヤマケン,クラシキシ,チュウオウ
7100036,岡山県,倉敷市,粒浦,オカヤマケン,クラシキシ,ツブウラ
7100034,岡山県,倉敷市,粒江,オカヤマケン,クラシキシ,ツブエ
7100033,岡山県,倉敷市,粒江団地,オカヤマケン,クラシキシ,ツブエダンチ
7100056,岡山県,倉敷市,鶴形,オカヤマケン,クラシキシ,ツルガタ
7100011,岡山県,倉敷市,徳芳,オカヤマケン,クラシキシ,トクボウ
7100012,岡山県,倉敷市,鳥羽,オカヤマケン,クラシキシ,トバ
7100013,岡山県,倉敷市,中帯江,オカヤマケン,クラシキシ,ナカオビエ
7100803,岡山県,倉敷市,中島,オカヤマケン,クラシキシ,ナカシマ
7100016,岡山県,倉敷市,中庄,オカヤマケン,クラシキシ,ナカショウ
7100015,岡山県,倉敷市,中庄団地,オカヤマケン,クラシキシ,ナカショウダンチ
7100807,岡山県,倉敷市,西阿知町,オカヤマケン,クラシキシ,ニシアチチョウ
7100804,岡山県,倉敷市,西阿知町新田,オカヤマケン,クラシキシ,ニシアチチョウシンデン
7100806,岡山県,倉敷市,西阿知町西原,オカヤマケン,クラシキシ,ニシアチチョウニシバラ
7100005,岡山県,倉敷市,西岡,オカヤマケン,クラシキシ,ニシオカ
7100004,岡山県,倉敷市,西坂,オカヤマケン,クラシキシ,ニシザカ
7100027,岡山県,倉敷市,西田,オカヤマケン,クラシキシ,ニシダ
7100845,岡山県,倉敷市,西富井,オカヤマケン,クラシキシ,ニシトミイ
7100833,岡山県,倉敷市,西中新田,オカヤマケン,クラシキシ,ニシナカシンデン
7100824,岡山県,倉敷市,白楽町,オカヤマケン,クラシキシ,バクロチョウ
7100043,岡山県,倉敷市,羽島,オカヤマケン,クラシキシ,ハシマ
