6570825,兵庫県,神戸市灘区,中原通,ヒョウゴケン,コウベシナダク,ナカハラドオリ
6570027,兵庫県,神戸市灘区,永手町,ヒョウゴケン,コウベシナダク,ナガテチョウ
6570811,兵庫県,神戸市灘区,長峰台,ヒョウゴケン,コウベシナダク,ナガミネダイ
6570835,兵庫県,神戸市灘区,灘北通,ヒョウゴケン,コウベシナダク,ナダキタドオリ
6570853,兵庫県,神戸市灘区,灘浜町,ヒョウゴケン,コウベシナダク,ナダハマチョウ
6570863,兵庫県,神戸市灘区,灘浜東町,ヒョウゴケン,コウベシナダク,ナダハマヒガシチョウ
6570841,兵庫県,神戸市灘区,灘南通,ヒョウゴケン,コウベシナダク,ナダミナミドオリ
6570102,兵庫県,神戸市灘区,畑原,ヒョウゴケン,コウベシナダク,ハタハラ(ノタヤマ)
6570822,兵庫県,神戸市灘区,畑原通,ヒョウゴケン,コウベシナダク,ハタハラドオリ
6570862,兵庫県,神戸市灘区,浜田町,ヒョウゴケン,コウベシナダク,ハマダチョウ
6570802,兵庫県,神戸市灘区,原田,ヒョウゴケン,コウベシナダク,ハラダ
6570837,兵庫県,神戸市灘区,原田通,ヒョウゴケン,コウベシナダク,ハラダドオリ
6570054,兵庫県,神戸市灘区,稗原町,ヒョウゴケン,コウベシナダク,ヒエハラチョウ
6570029,兵庫県,神戸市灘区,日尾町,ヒョウゴケン,コウベシナダク,ヒオチョウ
6570041,兵庫県,神戸市灘区,琵琶町,ヒョウゴケン,コウベシナダク,ビワチョウ
6570037,兵庫県,神戸市灘区,備後町,ヒョウゴケン,コウベシナダク,ビンゴチョウ
6570038,兵庫県,神戸市灘区,深田町,ヒョウゴケン,コウベシナダク,フカダチョウ
6570824,兵庫県,神戸市灘区,福住通,ヒョウゴケン,コウベシナダク,フクズミドオリ
6570842,兵庫県,神戸市灘区,船寺通,ヒョウゴケン,コウベシナダク,フナデラドオリ
6570855,兵庫県,神戸市灘区,摩耶海岸通,ヒョウゴケン,コウベシナダク,マヤカイガンドオリ
6570104,兵庫県,神戸市灘区,摩耶山,ヒョウゴケン,コウベシナダク,マヤサン
6570105,兵庫県,神戸市灘区,摩耶山町,ヒョウゴケン,コウベシナダク,マヤサンチョウ
6570854,兵庫県,神戸市灘区,摩耶埠頭,ヒョウゴケン,コウベシナダク,マヤフトウ
6570851,兵庫県,神戸市灘区,味泥町,ヒョウゴケン,コウベシナダク,ミドロチョウ
6570812,兵庫県,神戸市灘区,箕岡通,ヒョウゴケン,コウベシナダク,ミノオカドオリ
6570844,兵庫県,神戸市灘区,都通,ヒョウゴケン,コウベシナダク,ミヤコドオリ
6570065,兵庫県,神戸市灘区,宮山町,ヒョウゴケン,コウベシナダク,ミヤヤマチョウ
6570028,兵庫県,神戸市灘区,森後町,ヒョウゴケン,コウベシナダク,モリゴチョウ
6570815,兵庫県,神戸市灘区,薬師通,ヒョウゴケン,コウベシナダク,ヤクシドオリ
6570051,兵庫県,神戸市灘区,八幡町,ヒョウゴケン,コウベシナダク,ヤハタチョウ
6570064,兵庫県,神戸市灘区,山田町,ヒョウゴケン,コウベシナダク,ヤマダチョウ
6570031,兵庫県,神戸市灘区,大和町,ヒョウゴケン,コウベシナダク,ヤマトチョウ
6570026,兵庫県,神戸市灘区,弓木町,ヒョウゴケン,コウベシナダク,ユミノキチョウ
6570101,兵庫県,神戸市灘区,六甲山町,ヒョウゴケン,コウベシナダク,ロッコウサンチョウ
6570013,兵庫県,神戸市灘区,六甲台町,ヒョウゴケン,コウベシナダク,ロッコウダイチョウ
6570053,兵庫県,神戸市灘区,六甲町,ヒョウゴケン,コウベシナダク,ロッコウチョウ
6578501,兵庫県,神戸市灘区,六甲台町１−１,ヒョウゴケン,コウベシナダク,
6578570,兵庫県,神戸市灘区,桜口町４丁目２−１,ヒョウゴケン,コウベシナダク,
